Name,Address,Rating,Total Reviews,Latitude,Longitude,Place ID,Image File
Night Out Cafe and Restaurant,"W4H7+255, Block 1 Gulistan-e-Johar, Karachi",4,286,24.9275038,67.1129931,ChIJ-bOK2MA4sz4R7WlKnQgETC0,restaurant_images/ChIJ-bOK2MA4sz4R7WlKnQgETC0.jpg
Burger O'Clock,"next to Kaybees, Plot SB-3 Allama Shabbir Ahmed Usmani Road, Block 4 Gulshan-e-Iqbal, Karachi",4.3,7217,24.931931,67.100726,ChIJiU_H9408sz4RvgPRAiJLKio,restaurant_images/ChIJiU_H9408sz4RvgPRAiJLKio.jpg
McDonald's,"W3JP+PW2, LuckyOne Mall, Federal B Area, Block 21 Gulberg Town, Karachi",4.1,1497,24.9317629,67.0872811,ChIJ_Wuusk4_sz4R7ODvW26qZQk,restaurant_images/ChIJ_Wuusk4_sz4R7ODvW26qZQk.jpg
Rangoli Restaurant,"Karsaz Road, Karsaz Faisal Cantonment, Karachi",4.1,4858,24.8874219,67.0897712,ChIJX-nLdcw-sz4RigeQt3mphzs,restaurant_images/ChIJX-nLdcw-sz4RigeQt3mphzs.jpg
KFC - Lucky One Mall,"FC-07, Second Floor, Lucky Mall, FB Indus-Area Block 21 Block 21 Gulberg Town, Karachi",4.1,1197,24.932105,67.0867343,ChIJLS9LfbY4sz4RQamFl7QqbX4,restaurant_images/ChIJLS9LfbY4sz4RQamFl7QqbX4.jpg
OPTP - Lucky One Mall,"Lucky One Mall Food Court Level One, ???? ????? ???, ?????",3.8,172,24.9324178,67.0875252,ChIJb5QLsk4_sz4RfuERyI5BEAI,restaurant_images/ChIJb5QLsk4_sz4RfuERyI5BEAI.jpg
LuckyOne Food Street,Karachi,4.4,1299,24.9325028,67.086435,ChIJ0WZZuU4_sz4RTtj5DSOeRzw,restaurant_images/ChIJ0WZZuU4_sz4RTtj5DSOeRzw.jpg
Dine One Restaurant,"W4F8+Q2M, Block 1 Gulistan-e-Johar, Karachi",3.6,36,24.9244688,67.1150555,ChIJi6Gr0sM4sz4RwOHAVaTeMnk,restaurant_images/ChIJi6Gr0sM4sz4RwOHAVaTeMnk.jpg
Lavish Dine Restaurant,"V4X8+47X, FL 5 & 6, Rashid Minhas Road, Gulshan-e-Jamal Block B Gulshan e Jamal, Karachi",4,3128,24.8989769,67.1165484,ChIJSwLRMCc5sz4R-A_HLTcm8ag,restaurant_images/ChIJSwLRMCc5sz4R-A_HLTcm8ag.jpg
Arena - Family Recreational & Sports Complex,"Karsaz Road, Karsaz Faisal Cantonment, Karachi",4.3,12986,24.887577,67.089838,ChIJL6ArBcw-sz4RdE_dF04BXPw,restaurant_images/ChIJL6ArBcw-sz4RdE_dF04BXPw.jpg
Tasty Time Pizza,"Block 10 Gulshan-e-Iqbal, Karachi",4.2,28,24.9113312,67.1000441,ChIJNeZkArM5sz4RcM4T6XH4GLE,restaurant_images/ChIJNeZkArM5sz4RcM4T6XH4GLE.jpg
Delhi Zaiqa Biryani & Pakwan Centre,"Plot LSB ST4, Block 10 Gulshan-e-Iqbal, Karachi",4,5,24.9119306,67.1006818,ChIJK9C495g5sz4RFbWc09mkEeQ,restaurant_images/ChIJK9C495g5sz4RFbWc09mkEeQ.jpg
MashaAllah Abbasi tayyaba Restaurant,"X8Q3+FMV, Bahria Town Karachi, Karachi",4.5,2,24.9117577,67.1001783,ChIJWUcb3utLsz4RQg4htRCuWoY,restaurant_images/ChIJWUcb3utLsz4RQg4htRCuWoY.jpg
